# Wavelength (nm)	Counts
# Exptime(ms): 20
805.4055	2219.00
805.8146	2214.00
806.2235	2212.00
806.6324	2207.00
807.0411	2205.00
807.4497	2209.00
807.8582	2207.00
808.2666	2199.00
808.6749	2210.00
809.0831	2214.00
809.4912	2214.00
809.8991	2221.00
810.3070	2213.00
810.7147	2225.00
811.1223	2211.00
811.5299	2214.00
811.9373	2210.00
812.3446	2215.00
812.7518	2218.00
813.1589	2209.00
813.5659	2219.00
813.9727	2221.00
814.3795	2215.00
814.7861	2204.00
815.1927	2208.00
815.5991	2223.00
816.0055	2219.00
816.4117	2225.00
816.8178	2216.00
817.2238	2206.00
817.6297	2204.00
818.0354	2207.00
818.4411	2205.00
818.8467	2207.00
819.2521	2209.00
819.6575	2213.00
820.0627	2214.00
820.4678	2219.00
820.8729	2214.00
821.2778	2207.00
821.6826	2208.00
822.0872	2215.00
822.4918	2234.00
822.8963	2237.00
823.3007	2238.00
823.7049	2231.00
824.1091	2230.00
824.5131	2226.00
824.9170	2221.00
825.3208	2224.00
825.7246	2234.00
826.1282	2232.00
826.5316	2221.00
826.9350	2209.00
827.3383	2206.00
827.7415	2208.00
828.1445	2218.00
828.5475	2227.00
828.9503	2224.00
829.3530	2234.00
829.7556	2228.00
830.1581	2218.00
830.5605	2220.00
830.9628	2227.00
831.3650	2225.00
831.7671	2238.00
832.1691	2243.00
832.5709	2225.00
832.9727	2223.00
833.3743	2222.00
833.7758	2213.00
834.1772	2217.00
834.5786	2221.00
834.9798	2220.00
835.3808	2219.00
835.7818	2229.00
836.1827	2227.00
836.5835	2225.00
836.9841	2215.00
837.3847	2234.00
837.7851	2235.00
838.1854	2232.00
838.5856	2223.00
838.9858	2233.00
839.3858	2231.00
839.7857	2223.00
840.1854	2212.00
840.5851	2207.00
840.9847	2213.00
841.3841	2220.00
841.7835	2216.00
842.1827	2225.00
842.5818	2211.00
842.9809	2213.00
843.3798	2223.00
843.7786	2238.00
844.1773	2245.00
844.5759	2250.00
844.9743	2233.00
845.3727	2227.00
845.7709	2238.00
846.1691	2245.00
846.5671	2236.00
846.9651	2230.00
847.3629	2239.00
847.7606	2242.00
848.1582	2226.00
848.5557	2218.00
848.9531	2212.00
849.3503	2200.00
849.7475	2195.00
850.1446	2200.00
850.5415	2211.00
850.9384	2212.00
851.3351	2215.00
851.7317	2214.00
852.1282	2228.00
852.5246	2242.00
852.9209	2246.00
853.3171	2241.00
853.7132	2232.00
854.1091	2225.00
854.5050	2216.00
854.9007	2210.00
855.2964	2214.00
855.6919	2222.00
856.0873	2216.00
856.4826	2201.00
856.8778	2210.00
857.2729	2212.00
857.6679	2212.00
858.0628	2215.00
858.4576	2211.00
858.8522	2213.00
859.2468	2227.00
859.6412	2249.00
860.0355	2233.00
860.4298	2222.00
860.8239	2209.00
861.2179	2215.00
861.6118	2207.00
862.0056	2204.00
